PRN,Sys,El(°),Az(°),Freq,SNR,Pseudorange (m),Phase (cyc)
C02,BDS,33.3,216.9,2I,37.2,37732640.48497069,196483813.94984064
C02,BDS,33.3,216.9,6I,40.0,37732634.50889932,159659195.95296732
C02,BDS,33.3,216.9,7I,41.5,37732631.9910423,151933741.50849912
C03,BDS,44.1,181.4,2I,44.5,36958840.94380031,192454431.6154915
C03,BDS,44.1,181.4,6I,38.5,36958836.032052614,156384987.26143646
C03,BDS,44.1,181.4,7I,39.6,36958834.67233165,148817966.12310573
C08,BDS,66.0,263.6,2I,28.4,36658157.94395233,190888715.86698464
C08,BDS,66.0,263.6,6I,25.5,36658150.441196315,155112710.91385648
C13,BDS,57.8,254.2,2I,32.1,37037484.16173013,192863991.91728488
C13,BDS,57.8,254.2,6I,31.6,37037483.19568608,156717813.02966142
C13,BDS,57.8,254.2,7I,28.4,37037483.744600125,149134702.99834725
C33,BDS,45.9,206.2,1P,47.6,23321685.353822686,122556312.39661463
C33,BDS,45.9,206.2,2I,48.4,23321686.85593743,121442174.34327157
C33,BDS,45.9,206.2,5P,47.0,23321711.543667875,91519444.30284762
C33,BDS,45.9,206.2,6I,48.1,23321698.207792673,98681774.21109247
C33,BDS,45.9,206.2,7D,46.0,23321710.1269894,93906899.87383243
C59,BDS,36.9,138.4,2I,45.1,37934481.643764004,197534854.5146568
C59,BDS,36.9,138.4,6I,39.2,37934465.892778665,160513207.3058768
C59,BDS,36.9,138.4,7D,45.7,37934468.55749671,152746447.21668306
C60,BDS,32.4,222.6,2I,39.5,38097750.58663195,198385033.19117573
C60,BDS,32.4,222.6,6I,40.3,38097732.71146651,161204041.6576778
C60,BDS,32.4,222.6,7D,40.0,38097734.6340617,153403860.25897947
E04,GAL,46.9,114.3,5Q,26.4,24722969.49608512,97018853.12689051
E04,GAL,46.9,114.3,6C,27.2,24722967.712533265,105455179.27709268
E04,GAL,46.9,114.3,7Q,30.5,24722970.075711552,99549745.5005649
E04,GAL,46.9,114.3,8Q,31.6,24722969.071695823,98284315.35134341
E06,GAL,38.7,149.6,1C,44.3,25338722.680988945,133156267.79539792
E06,GAL,38.7,149.6,5Q,44.2,25338724.833089396,99435095.99888478
E06,GAL,38.7,149.6,6C,42.6,25338720.800274275,108081442.81729297
E06,GAL,38.7,149.6,7Q,44.6,25338723.900549762,102028946.650208
E06,GAL,38.7,149.6,8Q,47.4,25338723.516924173,100732017.85801007
E09,GAL,23.0,172.0,1C,41.4,26648149.553300545,140037114.57036653
E09,GAL,23.0,172.0,5Q,38.7,26648152.718909644,104573271.6475621
E09,GAL,23.0,172.0,6C,36.1,26648149.74650936,113666516.74911611
E09,GAL,23.0,172.0,7Q,42.6,26648152.054405354,107301253.57279687
E09,GAL,23.0,172.0,8Q,43.9,26648152.0661319,105937263.14049767
E16,GAL,12.1,197.7,5Q,27.4,27664522.877063464,108561381.41560878
E16,GAL,12.1,197.7,6C,30.1,27664517.58392382,118001506.38399878
E16,GAL,12.1,197.7,7Q,29.0,27664521.31073192,111393416.90053746
E16,GAL,12.1,197.7,8Q,31.2,27664521.13036647,109977403.19845371
E25,GAL,29.6,244.5,1C,32.9,26001942.517549597,136641126.44444028
E25,GAL,29.6,244.5,5Q,32.8,26001944.570253607,102037215.37615903
E25,GAL,29.6,244.5,6C,33.9,26001940.335295167,110910003.4784252
E25,GAL,29.6,244.5,7Q,32.4,26001943.143523805,104699049.39048733
E25,GAL,29.6,244.5,8Q,35.6,26001943.43222021,103368133.42120329
G05,GPS,59.8,266.4,1C,31.7,20907116.28093997,109867860.26708461
G05,GPS,59.8,266.4,1W,14.2,20907115.866043594,109867860.26708461
G05,GPS,59.8,266.4,2W,14.2,20907115.304844588,85611405.55612408
G09,GPS,10.1,37.8,1C,30.5,24479069.265763883,128638358.67760585
G09,GPS,10.1,37.8,1W,19.3,24479068.975950666,128638358.67760585
G09,GPS,10.1,37.8,2L,32.7,24479066.266001653,100237697.85415213
G09,GPS,10.1,37.8,2W,19.3,24479066.9193378,100237685.87131295
G09,GPS,10.1,37.8,5Q,37.6,24479067.545312013,96061125.37745163
G12,GPS,19.8,229.6,1C,40.9,24009644.510375503,126171530.7196784
G12,GPS,19.8,229.6,1W,29.6,24009643.870999526,126171530.7196784
G12,GPS,19.8,229.6,2L,33.6,24009643.132227108,98315474.32128489
G12,GPS,19.8,229.6,2W,29.6,24009642.864191763,98315468.2961382
G13,GPS,23.3,171.5,1C,41.4,23193117.15842723,121880790.71740541
G13,GPS,23.3,171.5,1W,22.2,23193116.45260082,121880790.71740541
